attraction_id,mission,level,근력,근지구력,유연성,심폐지구력,민첩성,순발력,평형성
1364975,"충무공 이순신 동상 앞에서 요가 자세로 다양한 자세 사진 찍기",3,0,0,1,0,0,0,1
1364975,"충무공 이순신 동상 주위에서 5바퀴 조깅한 후 사진 찍기",2,1,0,0,1,0,0,0
1364975,"주변 랜드마크를 찾아 이동하며 각 장소에서 포즈 취하기",4,0,0,0,1,1,0,0
1364975,"이순신 동상과 함께 자신이 가장 좋아하는 포즈로 인생샷 찰칵하기",3,1,0,1,0,0,0,0
1364975,"전통적인 무사 포즈를 취하며 사진 찍기",3,1,0,0,0,0,0,1
127642,"창덕궁 후원까지 걸어간 후 후원에서 다양한 자연 포즈로 사진 찍기",3,1,0,0,1,0,0,0
127642,"후원 내 숨겨진 조각상을 찾아 사진 촬영하기",2,0,0,1,0,1,0,0
127642,"창덕궁의 아름다운 경관을 배경으로 소리없이 춤추는 모습 촬영하기",4,0,0,1,0,0,0,1
127642,"후원의 다양한 정원을 탐험하며 각 정원에서 스탬프 찍기",3,0,1,0,1,0,0,0
127642,"창덕궁의 벽과 같은 자세로 균형 잡기 인증 사진 찍기",2,0,0,0,0,0,1,1
2761661,"구강사 주변에서 전통 민속놀이를 체험하며 제한 시간 내 성공하기",4,0,0,0,0,1,1,0
2761661,"구강사의 특정 지점까지 트레킹하며 사진 촬영하기",3,1,0,0,1,0,0,0
2761661,"구강사에서 다양한 각도로 사진 촬영하며 스트레칭하기",2,0,0,1,0,0,0,1
2761661,"구강사 내에 숨겨진 랜드마크를 찾아 인증 사진 찍기",3,0,0,1,0,1,0,0
2761661,"구강사 주변에서 다양한 포즈로 사진 촬영하기",3,0,0,1,1,0,0,0
3085458,"오동근린공원 유아숲체험장에서 나무를 따라 걸으며 다양한 나무 잎을 모아 사진찍기.",3,0,1,0,1,0,0,0
3085458,"체험장 안의 여러 지점에서 자연을 주제로 손으로 표현하여 사진 촬영하기.",4,0,0,1,0,0,0,1
3085458,"주어진 지도에 따라 유아숲체험장을 탐험하며 자연의 특징을 기록하기.",3,0,1,0,1,0,0,0
3085458,"친구와 함께 작은 장애물 코스를 만들어서 10분 동안 릴레이 진행하기.",5,0,0,0,0,1,1,0
3085458,"주변 식물의 이름을 찾아서 사인보드와 함께 사진 찍기.",2,0,0,1,0,1,0,0
3112063,"반려견과 함께 놀이터를 한 바퀴 돌며 다양한 포즈로 사진 찍기",3,1,0,0,1,0,0,0
3112063,"특정 장치(예: 장애물 코스)를 이용해 반려견과 함께 다양한 동작 시연하기",4,0,0,1,0,0,1,0
3112063,"주어진 시간 안에 반려견과 함께 공 던지기 놀이를 하며 몇 번의 성공을 기록하기",3,0,1,0,0,1,0,0
3112063,"반려견과 함께 균형 잡기 게임을 하며 서로 포즈 잡고 사진 찍기",4,0,0,1,0,0,0,1
3112063,"반려견과 함께 제자리에서 미션을 완료하기 위해 다양한 스탭 수행하기",2,1,0,0,0,0,1,0
3043794,"광진숲 나루 전망대까지 트레킹한 후 전망대에서 다양한 포즈로 사진 찍기",4,1,0,0,1,0,0,0
3043794,"자연 속에서 숨바꼭질하며 특정 지점을 찾아 사진 찍기",5,0,1,0,0,1,0,0
3043794,"광진숲 나루 전망대에서 친구와 함께 릴레이 형태로 특정 포즈 촬영하기",4,0,0,1,0,0,1,0
3043794,"주변 식물에 대해 퀴즈를 풀며 범위를 탐험한 후 체크포인트 인증하기",3,0,0,0,1,1,0,0
3043794,"광진숲 나루에서 제일 높은 나무 주변에서 체조 동작 수행하기",2,1,0,1,0,0,0,0
250362,"서울 구 러시아공사관 주변을 탐험하며 사진 찍기",3,1,0,0,1,0,0,0
250362,"공사관 근처에서 다양한 포즈로 사진 촬영하기",2,0,0,1,0,1,0,0
250362,"러시아공사관 조형물과 함께 스쿼트 인증 사진 찍기",4,1,0,0,0,0,0,1
250362,"주변 길을 따라 달리며 특정 지점을 찾아 인증하기",5,0,0,0,1,0,1,0
250362,"러시아공사관 앞에서 러시아 전통 무용의 포즈를 취하기",3,0,0,1,0,1,0,0
126823,"압구정 로데오거리에서 다양한 상점과 함께 팔짱 끼고 포즈 취하기.",3,0,0,1,0,0,0,1
126823,"압구정 로데오거리의 특정 장소를 찾아 점프해서 사진 찍기.",4,0,0,0,0,1,1,0
126823,"압구정 로데오거리에서 친구와 함께 다리 위에서 조화로운 포즈로 찍기.",3,1,0,1,0,0,0,0
126823,"압구정 로데오거리의 여러 상점 앞에서 각 가게의 특색을 살린 포즈로 사진 찍기.",3,1,0,0,1,0,0,0
126823,"압구정 로데오거리의 거리 댄스 공연에 참여하여 댄스 동작을 따라잡기.",5,0,0,0,0,1,1,0
126499,"용산가족공원 내에서 자전거를 타고 한 바퀴 돌며 다양한 포즈로 사진 찍기",4,1,0,0,1,0,0,0
126499,"용산가족공원에 있는 산책로를 따라 조깅하며 자연을 감상하기",3,0,1,0,1,0,0,0
126499,"용산가족공원의 벤치에서 하는 스트레칭 동작을 촬영하기",2,0,0,1,0,0,0,1
126499,"용산가족공원 내 트레킹 코스를 따라 정해진 체크포인트 모두 통과하기",4,0,1,0,1,0,0,0
126499,"용산가족공원에서 제공하는 운동시설을 이용해 푸쉬업을 10번 하기",3,1,1,0,0,0,0,0
605445,"승동교회 주변 정원을 따라서 다양한 동작으로 스트레칭하며 사진 찍기",3,0,0,1,1,0,0,0
605445,"승동교회에서 시작해 주변 마을을 트레킹하며 경치를 감상하기",4,1,0,0,1,0,0,0
605445,"승동교회 앞에서 친구와 함께 점프하여 하이파이브 사진 찍기",2,0,0,0,0,1,1,0
605445,"승동교회 내부에서 역사적인 요소를 찾아가며 제한 시간 내에 사진 촬영하기",3,0,0,1,0,1,0,0
605445,"승동교회 주변에서 미니 미션으로 주어진 포즈로 사진 촬영하기",2,0,0,1,0,0,0,1
2553960,"구로공단 노동자생활체험관의 전시물들을 관람하며 5가지 포즈로 사진찍기",3,0,0,1,0,1,0,0
2553960,"구로공단 주위 산책로를 따라 걷고 달리며 다양한 경치를 사진으로 담기",4,0,1,0,1,0,0,0
2553960,"구로공단 내 특정 시설을 찾아가며 각 시설의 역사에 대한 정보를 얻기",3,0,0,1,0,1,0,0
2553960,"구로공단의 고풍스러운 건물 앞에서 역사적인 포즈 취하기",2,0,0,1,0,0,0,1
2553960,"구로공단에서 주어진 미션 카드에 따라 5가지 다양한 체험 활동 완료하기",4,1,0,0,1,0,0,0
126943,"북악스카이 팔각정까지 걷고 정상에서 친구와 함께 다양한 포즈로 사진 찍기",4,1,0,0,1,0,0,0
126943,"팔각정 주변을 산책하며 길가에서 자연물(나뭇잎, 꽃 등)로 사진 촬영하기",3,0,0,1,1,0,0,0
126943,"팔각정 아래쪽부터 정상까지의 경로를 따라 사진을 찍으며 트레킹하기",4,0,1,0,1,0,0,0
126943,"팔각정에서 내려오는 동안 벽에 기대어 균형 잡기 게임하기",3,0,0,1,0,0,0,1
126943,"팔각정에서의 저녁노을을 배경으로 사람들과 함께 단체사진 촬영하기",2,0,0,0,1,1,0,0
753954,"광평대군파묘역 주변을 트레킹하며 역사적인 설명을 듣고 기념사진 찍기",3,1,0,0,1,0,0,0
753954,"주변의 아름다운 풍경을 감상하며 다양한 포즈로 사진 촬영하기",2,0,0,1,1,0,0,0
753954,"주요 묘소를 따라 달리며 체크포인트에서 인증샷 남기기",4,0,0,0,1,1,0,0
753954,"주변 자연을 탐험하며 간단한 운동(스트레칭이나 몸풀기) 후 사진 찍기",3,1,0,1,0,0,0,0
753954,"주변의 자연물을 이용해 다양한 포즈를 취하며 촬영하기",3,0,0,1,0,0,0,1
2591803,"구로기계공구단지에서 다양한 기계 도구를 활용해 짧은 장애물 코스 완주하기",3,1,0,0,1,0,0,0
2591803,"구로기계공구단지 내 정해진 위치에서 특정 기계 도구 찾기 경쟁하기",4,0,0,0,0,1,1,0
2591803,"서로 다른 도구를 사용해 협동으로 조립 작업을 완료하기",4,1,0,1,0,0,0,0
2591803,"구로기계공구단지에서 각 기계 도구에 대해 설명하고 다양한 포즈로 사진 촬영하기",2,0,0,1,0,0,0,1
2591803,"제한 시간 내에 가장 많은 기계 도구의 기능을 시연하고 인증받기",5,0,1,0,0,0,1,0
2500207,"상수동 카페거리의 여러 카페를 돌아다니며 다양한 음료를 주문하고 사진 촬영하기",4,0,0,0,1,1,0,0
2500207,"상수동의 각 카페에서 제공하는 디저트를 시식해보고 맛 평가하기",3,0,1,1,0,0,0,0
2500207,"상수동 카페거리의 거리 예술 작품 앞에서 신나는 포즈로 사진 찍기",2,1,0,1,0,0,0,0
2500207,"카페거리에서 다른 방문객들과 함께 간단한 릴레이 게임을 진행하기",5,0,0,0,1,0,1,0
2500207,"상수동 카페거리의 특정 카페 5곳 방문 후 인증 스탬프 모으기",3,0,0,0,0,1,0,1
126490,"서울어린이대공원에서 특정 나무를 찾아 가며 10회 점프 후 사진 찍기",3,0,0,0,1,0,1,0
126490,"어린이대공원 내 잔디밭에서 친구와 함께 릴레이 달리기 진행하기",4,0,1,0,1,0,0,0
126490,"서울어린이대공원에서 꽃으로 꾸며진 장소에서 다양한 포즈로 사진 촬영하기",2,0,0,1,0,0,0,1
126490,"어린이대공원 내 체험 시설 이용 후 원하는 동작으로 체조하면서 사진 찍기",3,1,0,1,0,0,0,0
126490,"서울어린이대공원에서 숨겨진 조형물 다섯 개를 찾아 빠르게 사진 찍기",4,0,0,0,0,1,1,0
2763871,"방배배수지 체육공원 내 자전거 도로를 따라 달리며 다양한 포즈로 사진 찍기",3,1,0,0,1,0,0,0
2763871,"체육공원 내에서 10개의 스트레칭 동작을 연속으로 수행하기",2,0,0,1,0,0,0,1
2763871,"주변의 나무를 이용해 트레킹 코스를 설정하고 탐험하기",4,0,1,0,1,0,0,0
2763871,"공원 내 운동기구를 이용해 5분간 운동하고 인증 사진 찍기",3,1,0,0,0,0,0,1
2763871,"주어진 시간 내에 체육공원에서 친구와 차례로 10회 공 던지기",2,0,0,0,0,1,1,0
126520,"풍납동 토성 주변 산책로를 따라 걷고 중간에 푸쉬업 10회 하기",3,1,0,0,1,0,0,0
126520,"토성에서 고개를 돌리며 다양한 방향으로 스트레칭 포즈 취하기",2,0,0,1,0,0,0,1
126520,"토성에서 정해진 시간 안에 모든 포토존에서 사진 찍기",4,0,0,0,0,1,1,0
126520,"토성의 주변을 한 바퀴 돌며 재미있는 포즈로 사진 촬영하기",3,0,0,1,1,0,0,0
126520,"정해진 시간 내에 토성 주위의 랜드마크를 찾아서 인증 사진 찍기",4,0,1,0,0,1,0,0
2401910,"이슬람거리를 따라 걸으며 각국의 이슬람 문화를 소개하는 포즈로 사진 찍기",3,0,0,1,1,0,0,0
2401910,"이슬람거리 끝까지 걸어간 후 친구와 함께 이슬람 문양을 형상화한 포즈로 사진 찍기",4,1,0,0,1,0,0,0
2401910,"이슬람거리에서 주어진 시간 내에 다양한 문화적 요소 찾아서 사진 인증하기",3,0,0,1,0,1,0,0
2401910,"이슬람거리 탐방 중 각국의 전통 음식을 최소 3가지 시식 후 소감 공유하기",2,0,1,0,1,0,0,0
2401910,"이슬람거리의 랜드마크에 대한 퀴즈를 풀며 이동하기",3,0,0,1,0,0,0,1
1603237,"영등포근린공원 내 산책로를 따라 빠르게 걷기 및 다양한 포즈로 사진찍기.",3,0,0,1,1,0,0,0
1603237,"공원 내 운동기구를 이용해 팔굽혀펴기 후 인증 사진 찍기.",4,1,0,0,0,0,0,1
1603237,"영등포 근린공원의 특정 지점을 정해 빠르게 이동하며 다양한 포즈로 사진찍기.",4,0,0,0,1,1,0,0
1603237,"영등포근린공원에서 간단한 스트레칭 동작을 연속으로 수행하고 체크 포인트 도달하기.",3,0,1,1,0,0,0,0
1603237,"공원 내의 장기자랑을 주제로 팀을 나눠 음악에 맞춰 춤추기.",5,0,0,0,1,1,0,0
127558,"진관사 주변을 트레킹하며 사진 찍기",3,1,0,0,1,0,0,0
127558,"진관사에서 유적지에 관련된 물건을 찾아 인증샷 찍기",4,0,0,1,0,1,0,0
127558,"진관사 마당에서 전통 놀이 체험 후 사진 찍기",3,1,0,0,0,0,1,0
127558,"진관사에서 다양한 요가 자세를 취하며 사진 찍기",5,0,0,1,0,0,0,1
127558,"진관사 주위 길에서 산책하며 명소를 찾아 체크포인트 인증하기",3,0,1,0,1,0,0,0
596259,"예지원에서 코끼리 조각상 앞에서 다양한 포즈로 사진 찍기.",2,0,0,1,1,0,0,0
596259,"예지원 주변을 탐험하며 특정 랜드마크를 찾아 인증샷 찍기.",3,0,1,0,0,1,0,0
596259,"예지원 주변의 나무들 사이를 돌아다니며 사진 찍기.",4,0,0,1,1,0,0,0
596259,"예지원 입구에서 간단한 스트레칭을 하고 사진 찍기.",1,0,0,1,0,0,0,1
596259,"예지원 내에서 친구와 함께 짝을 지어 릴레이로 돌기.",5,0,0,0,1,0,1,0
331506,"자매공원 내 산책로를 따라 정해진 거리만큼 빠르게 걷고 중간에 다양한 포즈로 사진 찍기",4,1,0,0,1,0,0,0
331506,"자매공원 내 벤치에서 스트레칭을 하고 다양한 유연성 포즈로 사진 찍기",3,0,0,1,0,0,0,1
331506,"공원의 특정 지점까지 조깅한 후, 그곳에서 모형 동물과 함께 인증샷 찍기",5,0,1,0,1,0,0,0
331506,"자매공원 안에 있는 작은 언덕을 오르내리며 다양한 포즈로 사진 찍기",4,1,0,0,0,1,0,0
331506,"자매공원 내에서 팀을 나누어 숨바꼭질을 하며 제한 시간 내 체크포인트 모두 통과하기",5,0,0,0,0,1,1,0
3081993,"플레이스콤마 주변을 탐험하며 특정 테이블에서 사진 찍기",3,0,1,0,0,1,0,0
3081993,"플레이스콤마에서 제공하는 다양한 음료를 5개 맛보고 후기 작성하기",2,0,0,1,1,0,0,0
3081993,"플레이스콤마 내에서 벤치에 앉아 균형잡기 도전하기",4,0,0,1,0,0,0,1
3081993,"플레이스콤마 안에서 친구와 함께 네임 태그를 달고 유도를 하며 각자 참여하기",5,1,0,0,0,1,0,0
3081993,"플레이스콤마에서 10분 동안 스탠드업 패들 보드 자세로 균형 잡기",4,1,0,0,0,0,0,1
126525,"선릉에서 산책하면서 다양한 전통 포즈로 사진 촬영하기",3,0,0,1,1,0,0,0
126525,"선릉의 각 구역을 탐험하며 역사적인 설명을 보며 체크인하기",4,0,1,0,1,0,0,0
126525,"선릉 주위를 걷고 나무와 함께 팔 벌려 스탠드 포즈 취하기",2,0,0,1,0,0,0,1
126525,"선릉의 특정 지점을 목표로 빠르게 이동하며 모두 인증샷 찍기",4,0,0,0,0,1,1,0
126525,"선릉 정원에서 제자리에서 빠르게 스쿼트하며 셀카 찍기",3,1,0,0,1,0,0,0
814237,"고덕동 생태경관 보전지역의 트레킹 코스를 따라 가며 다양한 자연 경관을 사진 찍기",4,1,0,0,1,0,0,0
814237,"보전지역 내에서 특정 식물이나 동물 찾기 미션을 수행하며 인증 사진 찍기",3,0,0,1,0,1,0,0
814237,"고덕동 생태경관 보전지역의 산책로를 따라 빠른 속도로 걷기",2,0,0,0,1,0,0,0
814237,"소나무 주변에서 균형 잡고 다양한 포즈로 사진 촬영하기",3,0,0,1,0,0,0,1
814237,"자연 탐험을 하며 점프하거나 달리기 등 5개의 체크포인트 통과하기",5,0,1,0,0,0,1,0
3080622,"옴니바디웍스 청담에서 다양한 고강도 운동 기구를 사용하여 20분간 운동하기",4,1,0,0,1,0,0,0
3080622,"트레드밀에서 10분간 달린 후 유연성 스트레칭하기",3,0,0,1,1,0,0,0
