no,content_id,title,content_type_id,area_code,si_gun_gu_code,first_image1,first_image2,map_level,latitude,longitude,tel,addr1,addr2,homepage,overview
4515,1364975,충무공 이순신 동상,12,1,23.0,http://tong.visitkorea.or.kr/cms/resource/09/1568209_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/09/1568209_image3_1.jpg,6,37.5724868597,126.9769182186,,서울특별시 종로구 세종대로 175,(세종로),,
4486,127642,창덕궁과 후원 [유네스코 세계유산],12,1,23.0,http://tong.visitkorea.or.kr/cms/resource/03/3092503_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/03/3092503_image3_1.jpg,6,37.5809583673,126.9919888278,,서울특별시 종로구 율곡로 99,(와룡동),,
3881,2761661,구강사,12,1,2.0,,,6,37.5449150194,127.1288607188,,서울특별시 강동구 천중로 64,(천호동),,
4352,3085458,오동근린공원 유아숲체험장,12,1,3.0,http://tong.visitkorea.or.kr/cms/resource/70/3084470_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/70/3084470_image3_1.JPG,6,37.6322281396,127.0327447666,,서울특별시 강북구 번동,산17-14,,
3884,3112063,구로구 반려견 놀이터,12,1,7.0,,,6,37.5082258503,126.8757403642,,서울특별시 구로구 구로중앙로42길 27,구로구 반려견 놀이터,,
4440,3043794,자라나는 숲(광진숲 나루 전망대),12,1,6.0,,,6,37.5475808166,127.0977856934,,서울특별시 광진구 광장동,401-14,,
4164,250362,서울 구 러시아공사관,12,1,24.0,http://tong.visitkorea.or.kr/cms/resource/54/1569254_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/54/1569254_image3_1.jpg,6,37.5684261216,126.9714160575,,서울특별시 중구 정동길 21-18,정동공원,,
4308,126823,압구정 로데오거리,12,1,1.0,http://tong.visitkorea.or.kr/cms/resource/70/2024970_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/70/2024970_image3_1.jpg,6,37.5268766055,127.0388971983,,서울특별시 강남구 압구정동,일대,,
4375,126499,용산가족공원,12,1,21.0,,,6,37.520106972,126.9845717812,,서울특별시 용산구 서빙고로 185,,,
4274,605445,승동교회,12,1,23.0,,,6,37.5712538383,126.9863146199,,서울특별시 종로구 인사동길 7-1,(인사동),,
3883,2553960,구로공단 노동자생활체험관,12,1,8.0,,,5,37.4828178318,126.8836153607,,서울특별시 금천구 벚꽃로44길 17,(가산동),,
4104,126943,북악스카이 팔각정,12,1,23.0,,,6,37.6020279352,126.9805670485,,서울특별시 종로구 북악산로 267,(평창동),,
4454,753954,전주이씨광평대군파묘역,12,1,1.0,,,6,37.4869238843,127.0930295156,,서울특별시 강남구 광평로31길 20,(수서동),,
3885,2591803,구로기계공구단지,12,1,7.0,http://tong.visitkorea.or.kr/cms/resource/01/2591801_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/01/2591801_image2_1.bmp,6,37.5041347264,126.8795151353,,서울특별시 구로구 구로중앙로 198,(구로동),,
4145,2500207,상수동 카페거리,12,1,13.0,,,5,37.5484886553,126.9214545083,,서울특별시 마포구 상수동,,,
4213,126490,서울어린이대공원,12,1,6.0,http://tong.visitkorea.or.kr/cms/resource/61/3355161_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/61/3355161_image3_1.JPG,6,37.5494219613,127.0807288607,,서울특별시 광진구 능동로 216,(능동),,
4062,2763871,방배배수지체육공원,12,1,15.0,,,6,37.4727848312,126.9924835083,,서울특별시 서초구 남부순환로296길 4-9,(방배동),,
4195,126520,서울 풍납동 토성,12,1,18.0,http://tong.visitkorea.or.kr/cms/resource/13/566413_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/13/566413_image3_1.jpg,6,37.5375629524,127.1209255392,,서울특별시 송파구 풍납동,72-1,,
4429,2401910,이태원 이슬람거리,12,1,21.0,http://tong.visitkorea.or.kr/cms/resource/96/3068496_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/96/3068496_image3_1.jpg,6,37.5334001039,126.9975035607,,서울특별시 용산구 우사단로,일대,,
4345,1603237,영등포근린공원,12,1,20.0,http://tong.visitkorea.or.kr/cms/resource/51/1567951_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/51/1567951_image3_1.jpg,6,37.51531732,126.9108425219,,서울특별시 영등포구 신길로 275,(영등포동),,
4477,127558,진관사(서울),12,1,22.0,,,6,37.6380064804,126.9469052095,,서울특별시 은평구 진관길 73,,,
4348,596259,예지원,12,1,24.0,http://tong.visitkorea.or.kr/cms/resource/04/696904_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/04/696904_image3_1.jpg,6,37.5515258689,127.002658134,,서울특별시 중구 장충단로 72,(장충동2가),,
4441,331506,자매공원(앙카라공원),12,1,20.0,http://tong.visitkorea.or.kr/cms/resource/54/2530854_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/54/2530854_image2_1.jpg,6,37.5180729154,126.9310100514,,서울특별시 영등포구 여의대방로 372-1,(여의도동),,
4540,3081993,플레이스콤마,12,1,4.0,,,6,37.5377626741,126.7965828625,,서울특별시 강서구 오정로 375 (오쇠동),,,
4178,126525,서울 선릉과정릉 [유네스코 세계유산],12,1,1.0,,,6,37.5074206801,127.0471803291,,서울특별시 강남구 선릉로100길 1,,,
3848,814237,고덕동 생태경관 보전지역,12,1,2.0,http://tong.visitkorea.or.kr/cms/resource/05/1894505_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/05/1894505_image3_1.jpg,6,37.5670267098,127.1493110052,,서울특별시 강동구 고덕동 396번지 일대,,,
4078,3080622,번지피지오 옴니바디웍스청담,12,1,1.0,http://tong.visitkorea.or.kr/cms/resource/16/3080616_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/16/3080616_image3_1.JPG,6,37.5253102705,127.0472464824,,서울특별시 강남구 압구정로 461 (청담동),"211,212, 213호",,
4456,1604580,전통염료식물원,12,1,21.0,http://tong.visitkorea.or.kr/cms/resource/05/2016205_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/05/2016205_image3_1.jpg,6,37.5241397623,126.9804026025,,서울특별시 용산구 서빙고로 137,(용산동6가),,
4419,2591829,이씨레물리노공원(구로근린공원),12,1,7.0,http://tong.visitkorea.or.kr/cms/resource/27/2591827_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/27/2591827_image2_1.bmp,6,37.4970135079,126.8894255436,,서울특별시 구로구 가마산로25길 21,(구로동),,
4389,3065955,우이동만남의광장,12,1,3.0,http://tong.visitkorea.or.kr/cms/resource/52/3065952_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/52/3065952_image3_1.jpg,6,37.6618909066,127.007729537,,서울특별시 강북구 우이동,186-5,,
4033,2753094,목5동성당,12,1,19.0,http://tong.visitkorea.or.kr/cms/resource/97/2779797_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/97/2779797_image2_1.jpg,6,37.5333896158,126.8770200955,,서울특별시 양천구 목동동로 353,(목동),,
3896,2793186,국악사랑,12,1,23.0,http://tong.visitkorea.or.kr/cms/resource/47/2796947_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/47/2796947_image2_1.jpg,6,37.5829218735,126.9833340052,,서울특별시 종로구 북촌로11길 35-16,(가회동),,
4397,1829821,유관순열사상,12,1,6.0,http://tong.visitkorea.or.kr/cms/resource/96/2031396_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/96/2031396_image3_1.jpg,6,37.5329264215,127.0677499556,,"서울특별시 광진구 능동로 18 (자양동, 이튼타워리버3차)",,,
4201,1845253,"서울교통공사 차량기지(신정, 수서, 천왕기지)",12,1,16.0,http://tong.visitkorea.or.kr/cms/resource/98/2034198_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/98/2034198_image3_1.jpg,6,37.5625755656,127.0572167398,,서울특별시 성동구 천호대로 346,,,
3857,2733969,과학동아천문대,12,1,21.0,http://tong.visitkorea.or.kr/cms/resource/33/2741633_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/33/2741633_image2_1.png,6,37.5337300099,126.963378882,,서울특별시 용산구 청파로 109,(한강로3가),,
3841,1826438,경찰혼,12,1,20.0,http://tong.visitkorea.or.kr/cms/resource/98/2360898_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/98/2360898_image3_1.jpg,6,37.5263408571,126.9006431406,,서울특별시 영등포구 국회대로 608,(당산동3가),,
4493,3060931,천마근린공원,12,1,18.0,http://tong.visitkorea.or.kr/cms/resource/55/3054055_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/55/3054055_image3_1.jpg,6,37.5004373909,127.1588287023,,서울특별시 송파구 성내천로35길 53 (마천동),,,
4216,1164746,서울풍물시장 전통문화체험관,12,1,11.0,http://tong.visitkorea.or.kr/cms/resource/58/1986058_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/58/1986058_image3_1.jpg,6,37.5730932173,127.0254887761,,서울특별시 동대문구 천호대로4길 21,(신설동),,
4615,761181,SK텔레콤 미래기술체험관 T.um(티움),12,1,24.0,http://tong.visitkorea.or.kr/cms/resource/16/2802616_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/16/2802616_image2_1.jpg,6,37.566396053,126.9853648438,,서울특별시 중구 을지로 65,(을지로2가) SK T-타워,,
4423,970636,이촌한강공원,12,1,21.0,http://tong.visitkorea.or.kr/cms/resource/15/2531015_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/15/2531015_image2_1.jpg,6,37.5178736527,126.9708647593,02-3780-0551,서울특별시 용산구 이촌로72길 62,(이촌동),,
3957,2753103,대림어린이공원,12,1,20.0,http://tong.visitkorea.or.kr/cms/resource/30/2784530_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/30/2784530_image2_1.jpg,6,37.4914005142,126.9030355727,,서울특별시 영등포구 대림로 106,(대림동),,
4068,2661483,배봉산,12,1,11.0,,,6,37.5807819121,127.0643739039,,서울특별시 동대문구 전농동,,,
3992,3006915,등나무근린공원,12,1,9.0,http://tong.visitkorea.or.kr/cms/resource/00/3006900_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/00/3006900_image3_1.jpg,6,37.6407111019,127.0668719687,,서울특별시 노원구 동일로 1238 서울시립 북서울미술관,,,
4141,1606009,삼청동오위장김춘영가옥,12,1,24.0,http://tong.visitkorea.or.kr/cms/resource/63/2031863_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/63/2031863_image3_1.jpg,6,37.5586776601,126.9939920541,,서울특별시 중구 퇴계로34길 28,(필동2가),,
